mn,beat,mc,quarterbeats,quarterbeats_all_endings,mc_onset,mn_onset,timesig,gracenote,start
30,1,30,87,87,0,0,3/4,,111.32
30,2,,,,,,,,112.94999999999999
30,3,30,89,89,1/2,1/2,3/4,,114.58
31,1,31,90,90,0,0,3/4,,115.62
31,2,31,91,91,1/4,1/4,3/4,,116.58
31,3,31,92,92,1/2,1/2,3/4,grace16,118.24
32,1,32,93,93,0,0,3/4,,119.64
32,2,32,94,94,1/4,1/4,3/4,,121.0
32,3,32,95,95,1/2,1/2,3/4,,122.5
33,1,33,96,96,0,0,3/4,,123.78
33,2,33,97,97,1/4,1/4,3/4,,125.08
33,3,33,98,98,1/2,1/2,3/4,,126.08
34,1,34,99,99,0,0,3/4,,127.28
34,2,34,100,100,1/4,1/4,3/4,,128.4
34,3,34,101,101,1/2,1/2,3/4,,129.72
35,1,35,102,102,0,0,3/4,,130.8
35,2,35,103,103,1/4,1/4,3/4,,132.0
35,3,35,104,104,1/2,1/2,3/4,,133.16
36,1,36,105,105,0,0,3/4,,134.32
36,2,36,106,106,1/4,1/4,3/4,,135.34
36,3,36,107,107,1/2,1/2,3/4,,136.82
37,1,37,108,108,0,0,3/4,,138.14
37,2,37,109,109,1/4,1/4,3/4,,139.32
37,3,37,110,110,1/2,1/2,3/4,,140.46
38,1,38,111,111,0,0,3/4,,141.68
38,2,38,112,112,1/4,1/4,3/4,,142.72
38,3,38,113,113,1/2,1/2,3/4,,143.8
39,1,39,114,114,0,0,3/4,,144.92
39,2,39,115,115,1/4,1/4,3/4,,146.08
39,3,39,116,116,1/2,1/2,3/4,grace16,147.32
40,1,40,117,117,0,0,3/4,,148.58
40,2,40,118,118,1/4,1/4,3/4,,150.2
40,3,40,119,119,1/2,1/2,3/4,,151.28
41,1,41,120,120,0,0,3/4,,152.46
41,2,41,121,121,1/4,1/4,3/4,,153.54
41,3,41,122,122,1/2,1/2,3/4,,154.88
42,1,42,123,123,0,0,3/4,,155.98
42,2,42,124,124,1/4,1/4,3/4,,157.14
42,3,42,125,125,1/2,1/2,3/4,,158.42
43,1,43,126,126,0,0,3/4,,159.56
43,2,43,127,127,1/4,1/4,3/4,,160.72
43,3,43,128,128,1/2,1/2,3/4,,161.98
44,1,44,129,129,0,0,3/4,,163.22
44,2,44,130,130,1/4,1/4,3/4,,164.32
44,3,44,131,131,1/2,1/2,3/4,,165.72
45,1,45,132,132,0,0,3/4,,167.12
45,2,45,133,133,1/4,1/4,3/4,,168.6
45,3,45,134,134,1/2,1/2,3/4,,169.92
46,1,46,135,135,0,0,3/4,,170.96
46,2,46,136,136,1/4,1/4,3/4,,172.46
46,3,46,137,137,1/2,1/2,3/4,,174.08
47,1,47,138,138,0,0,3/4,,175.08
47,2,47,139,139,1/4,1/4,3/4,,176.18
47,3,47,140,140,1/2,1/2,3/4,,177.48
48,1,48,141,141,0,0,3/4,,178.66
48,2,48,142,142,1/4,1/4,3/4,,179.78
48,3,48,143,143,1/2,1/2,3/4,,181.46
49,1,49,144,144,0,0,3/4,,182.64
49,2,49,145,145,1/4,1/4,3/4,,183.88
49,3,49,146,146,1/2,1/2,3/4,,185.12
50,1,50,147,147,0,0,3/4,,186.26
50,2,,,,,,,,187.91
50,3,50,149,149,1/2,1/2,3/4,,189.56
51,1,51,150,150,0,0,3/4,,190.86
51,2,51,151,151,1/4,1/4,3/4,,192.3
51,3,51,152,152,1/2,1/2,3/4,grace16,193.78
52,1,52,153,153,0,0,3/4,,194.78
52,2,52,154,154,1/4,1/4,3/4,,195.9
52,3,52,155,155,1/2,1/2,3/4,,197.86
53,1,53,156,156,0,0,3/4,,199.18
53,2,53,157,157,1/4,1/4,3/4,,200.26
53,3,53,158,158,1/2,1/2,3/4,,201.3
54,1,54,159,159,0,0,3/4,,202.28
54,2,54,160,160,1/4,1/4,3/4,,203.3
54,3,54,161,161,1/2,1/2,3/4,,204.52
55,1,55,162,162,0,0,3/4,,205.52
55,2,55,163,163,1/4,1/4,3/4,,206.72
55,3,55,164,164,1/2,1/2,3/4,,207.78
56,1,56,165,165,0,0,3/4,,208.86
56,2,56,166,166,1/4,1/4,3/4,,209.88
56,3,56,167,167,1/2,1/2,3/4,,211.22
57,1,57,168,168,0,0,3/4,,212.48
57,2,57,169,169,1/4,1/4,3/4,,213.64
57,3,57,170,170,1/2,1/2,3/4,,214.68
58,1,58,171,171,0,0,3/4,,215.74
58,2,58,172,172,1/4,1/4,3/4,,216.74
58,3,58,173,173,1/2,1/2,3/4,,217.82
59,1,59,174,174,0,0,3/4,,218.94
59,2,59,175,175,1/4,1/4,3/4,,220.0
59,3,59,176,176,1/2,1/2,3/4,grace16,221.0
60,1,60,177,177,0,0,3/4,,222.3
60,2,60,178,178,1/4,1/4,3/4,,223.6
60,3,60,179,179,1/2,1/2,3/4,,224.76
61,1,61,180,180,0,0,3/4,,225.9
61,2,61,181,181,1/4,1/4,3/4,,226.98
61,3,61,182,182,1/2,1/2,3/4,,228.16
62,1,62,183,183,0,0,3/4,,229.22
62,2,62,184,184,1/4,1/4,3/4,,230.36
62,3,62,185,185,1/2,1/2,3/4,,231.44
63,1,63,186,186,0,0,3/4,,232.48
63,2,63,187,187,1/4,1/4,3/4,,233.58
63,3,63,188,188,1/2,1/2,3/4,,234.7
64,1,64,189,189,0,0,3/4,,236.08
64,2,64,190,190,1/4,1/4,3/4,,237.28
64,3,64,191,191,1/2,1/2,3/4,,238.36
65,1,65,192,192,0,0,3/4,,239.86
65,2,65,193,193,1/4,1/4,3/4,,241.24
65,3,65,194,194,1/2,1/2,3/4,,242.58
66,1,66,195,195,0,0,3/4,,243.92
66,2,66,196,196,1/4,1/4,3/4,,245.04
66,3,66,197,197,1/2,1/2,3/4,,246.24
67,1,67,198,198,0,0,3/4,,247.8
67,2,67,199,199,1/4,1/4,3/4,,248.8
67,3,67,200,200,1/2,1/2,3/4,,249.82
68,1,68,201,201,0,0,3/4,,250.92
68,2,68,202,202,1/4,1/4,3/4,,252.04
68,3,68,203,203,1/2,1/2,3/4,,253.44
69,1,69,204,204,0,0,3/4,,254.52
69,2,69,205,205,1/4,1/4,3/4,,255.7
69,3,69,206,206,1/2,1/2,3/4,,256.8
70,1,70,207,207,0,0,3/4,,257.96
70,2,,,,,,,,259.44
70,3,,,,,,,,260.92
71,1,,,,,,,,262.4
71,2,,,,,,,,263.88
71,3,71,212,212,1/2,1/2,3/4,grace16,265.36
72,1,72,213,213,0,0,3/4,,266.36
72,2,72,214,214,1/4,1/4,3/4,,267.72
